sector	area	policyRef	policyNumber	title	Text	DataIntro	DataTitle	DataLink	ReportIntro	ReportTitle	ReportLink	BriefIntro	BriefTitle	BriefLink
Electricity 	1	3-1	11	Drive investments in green energy development, deployment and infrastructure	<p>Thanks to enormous cost reductions in recent years, electricity generation from large-scale renewables (notably wind and solar) is becoming cheaper than the generation from fossil fuels, and this trend is expected to continue. The world needs to invest around USD 1.7 trillion between 2015 and 2030 to achieve the Paris Agreement’s renewables targets. For this, investments and investment incentives in green energy infrastructure must be expanded to mobilise private investment in low-emission and climate-resilient infrastructure. Investment and pension funds are showing new interest, which should be encouraged through improved environmental risk analysis, clear frameworks for diversified financial instruments and models, and expediting building permits for clean electricity infrastructure. </p> <p>Support mechanisms should be applied to provide investment incentives while reducing investment risks in renewable energy projects. Competitive auctions are more cost-effective than administratively set tariffs. Moreover, support mechanisms can be broadened to include job creation and local economic development. For example, South Africa’s Renewable Energy Independent Power Producer Procurement Program (REIPPPP) assigns 70% of the auction score on the bid price, and the remaining 30% is allocated based on socio-economic dimensions including job creation, black ownership and enterprise development. Between 2011 and 2015, the REIPPPP is estimated to have created more than 100 000 direct full-time jobs. </p>	ARTICLE:	Investing in Renewable Energy, OECD Observer (2017)	https://www.oecdobserver.org/news/fullstory.php/aid/5980/Investment_in_renewable_energy:_What_policymakers_must_do_to_make_it_happen.html	REPORT:	For sustainable development and nuclear energy	https://www.oecd-nea.org/sd/	REPORT:	IEA 2018 Renewables Report, International Energy Agency (2018)	https://www.iea.org/reports/renewables-2018
Electricity 	2	3-2	12	Phase out coal and tap the potential of new sources of energy generation	<p>Phasing out coal is challenging. For it to happen, the broad economic, social and political impacts on regions and communities must form part of the strategy. In Germany, for example, the Commission on Growth, Structural Change and Employment is working to achieve a smooth coal phase-out by 2038, by advising on how to support structural change, retraining, providing early retirement options, and more. </p> <p>Distributed energy resources, including rooftop solar, distributed storage, and electric vehicles, are transforming the current electricity system and offer vast potential for addressing the intermittency of renewable generation.  So-called “behind the meter” generation  produces power on site and turns customers into “prosumers”, as they can sell excess energy back to the grid. Uptake of distributed generation can be increased through net-metering schemes, financial incentives and mandatory deployment of distributed generation for new buildings. Policy should encourage the deployment of smart meters to enable real-time pricing and emerging business models to optimise demand and help integrate variable renewable energy such as wind and solar. </p>	ARTICLE:	Phase Them Out! (Fossil fuel subsidies), OECD Observer (2017)	https://www.oecdobserver.org/news/fullstory.php/aid/5979/Phase_them_out!.html	ARTICLE:	Cool Generation, OECD Observer (2018)	https://www.oecdobserver.org/news/fullstory.php/aid/6135/Cool_generation.html	REPORT:	Investing in Climate, Investing in Growth, OECD (2017)	https://www.oecd.org/env/investing-in-climate-investing-in-growth-9789264273528-en.htm
Electricity 	3	3-3	13	Price carbon and address barriers holding up the transition to sustainable energy	<p>Pricing carbon emissions and phasing out fossil fuel subsidies are vital to lower the amount of carbon used in electricity generation. Switching from coal to renewables (and to a lesser extent to natural gas) will not only reduce greenhouse gas emissions, but deliver other positive effects, from reducing air pollution to creating jobs in renewable energy and related sectors. </p> <p>Carbon pricing will speed up the deployment of clean and renewable energy and drive investments towards zero-carbon technologies, while generating government revenue. In 2012-16, a United Kingdom carbon tax scheme called the Carbon Price Support (CPS) led to a 78% reduction of coal use in electricity generation and a 58% decrease in CO<sub>2</sub> emissions, with marked improvements in air quality and continued affordability. </p> <p>Targeted income transfers or dedicated energy-efficiency programmes can also help affordability. For example, in 2016, France switched from social energy tariffs to energy cheques to help households pay their energy bills. Depending on income and building characteristics, 5.8 million eligible households received a cheque of up to EUR 277 in 2019 to go towards utility and electricity bills. </p>	VIDEO:	Carbon Pricing Trends, OECD (2018)	https://www.youtube.com/watch?v=FdqwVaEBgmw	REPORT:	Taxing Energy Use 2019: Using Taxes for Climate Action, OECD (2019)	https://dx.doi.org/10.1787/058ca239-en	REPORT:	Effective Carbon Rates 2018 & Inventory of Fossil Fuels, OECD (2018)	https://www.oecd.org/tax/effective-carbon-rates-2018-9789264305304-en.htm
Electricity 	4	3-4	14	Channel public money into green electricity, leveraging the weight of sub-national governments	<p>Multilateral and national development banks have broad leverage in shaping electricity infrastructure and must play a key role in facilitating investments. More lending money for renewable projects will accelerate the transition towards a sustainable electricity sector. In 2019, the European Investment Bank, the world's largest international public lending institution, announced an end to fossil fuel energy project financing beginning in 2022. Similarly, Norway’s Government Pension Fund no longer invests in companies whose business models are focused on fossil fuels. </p> <p>Sub-national and city governments can also lead the way towards a low-carbon economy, with more ambitious targets on greenhouse gas emissions reductions and higher shares of renewable energy. Copenhagen and Oslo for instance aim to become carbon neutral by 2025. Cities can leverage the low-carbon transition as owners and operators of energy infrastructure and public buildings, through direct investment in biomass plants, encouraging rooftop solar panels, and taking visible action to improve the energy efficiency of public buildings, for example though energy performance contracts and public-private partnerships. </p>	ARTICLE:	New Energy in the Electricity Sector, OECD Observer (2017)	https://www.oecdobserver.org/news/fullstory.php/aid/5862/New_energy_in_the_electricity_sector.html	ARTICLE:	Carbon Prices are Still Far Too Low to Prevent Climate Change, OECD Observer (2017)	https://oecdinsights.org/2017/11/13/carbon-prices-are-still-far-too-low-to-prevent-climate-change/	REPORT:	Carbon Pricing and Competitiveness: Are They at Odds? OECD (2019)  	https://dx.doi.org/10.1787/f79a75ab-en
Electricity 	5	3-5	15	Empower investors and consumers with information on sustainable electricity	<p>Policy makers should provide investors with information on the environmental sustainability of their investments, using taxonomies for instance. The European Commission has included a proposed voluntary-based taxonomy in its 2018 Action Plan on Financing Sustainable Growth.  Once implemented, this proposal could provide more visibility to decarbonised electricity generation in financial-market portfolios. This, in turn, can influence corporate and investor decision making, and support the achievement of the Paris Agreement goals. </p> <p>While minimum energy performance standards are the most effective means to improving energy efficiency, broad and frequent feedback to consumers on energy usage can also reduce consumption, and spur investment in energy efficient practices and products, as well as the adoption of renewable energy sources. These can include more salient energy efficiency framing, such as clear and visual energy efficiency labels, green defaults and communications campaigning for renewable energy uptake, as well as direct feedback to consumers, such as clearer energy bills. Real-time information on the carbon content of electricity consumption can steer consumers towards less carbon intense hours.  </p>	ARTICLE:	Cool Generation, OECD Observer (2018)	https://www.oecdobserver.org/news/fullstory.php/aid/6135/Cool_generation.html	ARTICLE:	Tackling Environmental Problems with the Help of Behavioural Insights, OECD (2017)	https://www.oecd.org/env/tackling-environmental-problems-with-the-help-of-behavioural-insights-9789264273887-en.htm			
Industry	1	4-1	16	Scale-up research and development to create new low-carbon industrial processes	<p>The high temperatures needed for transforming raw materials into primary materials cannot be easily electrified and current alternatives are all expensive or technically difficult. Entirely new processes will need to be created to decarbonise heavy industry. The challenge for the industry is to scale up promising technologies so they can be widely used and commercially viable. Discovering these new low-carbon processes will take time, but governments can help by investing in R&D to catalyse innovation. </p> <p>Sweden is leading the way with two promising projects in cement and steel - the highest emitting sub-sectors in industry. The Swedish CemZero project is a pilot study on electrified cement production (which would be close to zero emissions if the electricity is fossil fuel free), and aims for zero carbon dioxide emissions by 2030. This would equal a 5% reduction of Sweden’s total CO<sub>2</sub> emissions. Likewise, the Swedish HYBRIT aims to create zero carbon steel across the supply chain - from the mining of iron ore to the fabrication of steel - using hydrogen technologies. </p> <p>The European Union is also investing heavily to push the innovation frontier. One of the missions for the Horizon 2020 funding is to strengthen the European value chain for low-carbon hydrogen and fuel cells for energy- and carbon-intensive industry, in particular the steel industry and the chemicals sector. </p>	ARTICLE:	Bioeconomy 101: Making Rubber Tyres From Dandelions, OECD Observer (2018)	https://www.oecdobserver.org/news/fullstory.php/aid/6035/Bioeconomy_101:_Making_rubber_tyres_from_dandelions.html	ARTICLE:	Mining and Green Growth in the EECCA Region OECD (2019)	https://dx.doi.org/10.1787/1926a45a-en	REPORT:	Regions in Industrial Transition: Policies for People and Places, OECD (2019)	https://dx.doi.org/10.1787/c76ec2a1-en
Industry	2	4-2	17	Regulate energy efficiency in plants to lower emissions  	<p>Heavy industry is highly energy-intensive. Transforming raw materials from the earth into primary materials - like steel, cement, aluminium, glass -requires very high temperatures. More effort is needed to find ways of reaching these temperatures without relying on fossil fuels like coal, but a good short-term alternative is to improve the energy efficiency of plants with strong or mandatory goals. </p> <p>Since 2009, Japan sets mandatory performance benchmarks for energy use from heavy industry plants to improve energy efficiency by 1% per year since 2009.  Russia has several laws in place which set federal and regional energy efficiency standards for industrial consumers, such as steel, aluminium, paper. These firms are required to submit energy efficiency and thermal efficiency performance certificates annually. Any plants that cannot meet these benchmarks are phased out. </p> <p>Alongside standards, the use of Energy Management Systems can also improve the overall efficiency of plants, thereby lowering energy consumption. Projections show that implementing <a href="https://www.iso.org/iso-50001-energy-management.html" target="_blank">ISO 50001</a>, a standard to encourage continual improvement, can lead to deep reductions in CO<sub>2</sub> emissions. </p>	REPORT:	Extended Producer Responsibility: Updated Guidance for Efficient Waste Management, OECD (2016) 	https://dx.doi.org/10.1787/9789264256385-en	REPORT:	The Macroeconomics of the Circular Economy Transition: A Critical Review of Modelling Approaches, OECD (2018) 	https://dx.doi.org/10.1787/af983f9a-en			
Industry	3	4-3	18	Price carbon while maintaining competitiveness to lower emissions and spur innovation	<p>The extraction and processing of materials and chemicals used in heavy industry - steel, cement, aluminium, glass, pulp and paper, and petrochemicals - generate high emissions that must be addressed. Carbon prices are often kept very low in order to maintain competitiveness, but carbon prices must rise, which means putting in place effective emissions trading schemes or carbon taxes amongst others. </p> <p>There are a number of ways to implement carbon pricing, so that it does not hurt firms’ competitiveness and, in turn, catalyses innovation. These include: setting a carbon price floor (preventing the carbon price from going too low to guarantee certain returns), international co-operation on carbon pricing for all countries or even co-operating globally to set a carbon price within a given industry - such as creating a carbon price for all cement firms globally. </p>	REPORT:	Carbon Pricing and Competitiveness: Are They at Odds? OECD (2019) 	https://dx.doi.org/10.1787/f79a75ab-en	REPORT:	The Joint Impact of the European Union Emissions Trading System on Carbon Emissions and Economic Performance OECD (2018)	https://dx.doi.org/10.1787/4819b016-en	REPORT:	Improving Economic Efficiency and Climate Mitigation Outcomes through International Co-ordination on Carbon Pricing OECD (2019)	https://dx.doi.org/10.1787/0ff894af-en
Industry	4	4-4	19	Lead the way for other economic sectors in shifting from linear to circular resource efficiency	<p>Our economies need to shift from being linear to circular. A linear economy is one that extracts resources, produces products, consumes them, and then disposes of them, creating a system of emissions and resource use. A circular economy creates a system that aims to keep products, components and materials in the economy for as long as possible, trying to eliminate waste and virgin resource inputs. This kind of system change requires using recycled secondary materials instead of virgin raw materials, designing products to be robust and repairable so they last longer, and using materials more efficiently, for example, through increased material productivity. </p><p>There are different tools for countries to incentivise this change - such as facilitating the trade of scrap materials, removing import bans - in addition to Extended Producer Responsibility requirements - holding producers responsible for products at the end of life, product take-back requirements, and advanced disposal fees. Product take-back requirements typically set recycling or collection targets for a given product or material, e.g., the European Union’s Waste Directive for Electronic Waste. Likewise, advance disposal fees (ADFs) are charged at the time of purchase, ideally, to cover the costs of collection and treatment of the product. When the ADF is transparent to the consumer, it may influence both consumer and manufacturer behaviour. </p>	INITIATIVE:	Re-circle - resource efficiency and circular economy (2019) 	https://www.oecd.org/environment/waste/recircle.htm	REPORT:	Extended Producer Responsibility: Updated Guidance for Efficient Waste Management, OECD (2016) 	https://dx.doi.org/10.1787/9789264256385-en	REPORT:	Policy Guidance on Resource Efficiency, OECD (2016)	https://dx.doi.org/10.1787/9789264257344-en
Industry	5	4-5	20	Educate for energy and resource efficient sustainable industrial practices 	<p>Educating actors across supply chains is fundamental for the transition to energy and resource efficiency. It helps unearth solutions, such as using waste from one industry as input in another. The United Kingdom’s Internal Synergies programme promotes such industrial symbiosis. Between 2005 and 2013, the United Kingdom’s National Industrial Symbiosis Programme was rolled out across all nine English regions and reduced CO<sub>2</sub> by 42 million tonnes, diverted 47 million tonnes of industrial waste from landfill, created over 10 000 jobs, and saved 60 million tonnes of virgin material, including 73 million tonnes of industrial water. The United Kingdom is now spreading its expertise, reaching 30 countries so far. </p><p>The European Union runs a European Resource Efficiency Knowledge Centre that offers a free self-assessment tool for small- and medium-sized firms working in 12 industries. SMEs answer questions on their consumption of energy, materials, water and waste, and the platform creates a personalised report with a set of actions for firms to be more efficient in these areas. </p><p>Other countries provide a consultancy. For example, France has a programme called Winning on All Counts led by an environmental and energy agency, the <a href="https://www.ademe.fr/" target=“_blank">ADEME</a>, for SMEs in industry to improve their resource efficiency, particularly targeting those with high energy and material consumption, with limited time and knowledge to undertake efficiency improvements. To fill this gap, the ADEME offers a coaching service to any SME willing to sign up. </p>	INITIATIVE:	Re-circle - resource efficiency and circular economy (2019) 	https://www.oecd.org/environment/waste/recircle.htm	REPORT:	Tackling Environmental Problems with the Help of Behavioural Insights, OECD (2017)	https://www.oecd.org/env/tackling-environmental-problems-with-the-help-of-behavioural-insights-9789264273887-en.htm			
Transport 	1	5-1	21	Scale-up research, production and use of zero-emission fuels	<p>Alternative fuels are the key to emissions-free transport, with electric mobility being the most advanced. In Norway, 46% of all new cars sold in 2018 were electric. Worldwide, 5.1 million electric cars were sold in 2018, up from 3.1 million in 2017. Still, they only make up about 0.5% of the global vehicle stock. Future uptake depends fundamentally on progress with battery technology to increase range, availability of charging infrastructure to reassure users, and ultimately on the price. The extent to which governments invest, and the range of incentives they put in place, will matter. </p> <p>It is unlikely that one single new energy source can replace oil for energy intensity. Government policy should act according to different technologies and uses. Electric mobility should be boosted to decarbonise urban traffic, for instance, which would slash emissions and improve air quality. Also, if flights under 1 000 kilometres used electric aircraft, this could save 15% of jet fuel. Hydrogen has advantages for longer ranges and where fast refuelling is necessary, for trucks or maritime transport for instance. Ships are also rediscovering wind power.  The use of biofuels and synthetic fuels should be stepped up as they allow conventional engines to run virtually carbon free, if sustainably produced. To boost this sector, Sweden now requires conventional fuels to be blended with biofuels to reduce the greenhouse gas emissions of diesel by 21% and of petrol by 4.2% by 2020. </p>	VIDEO:	10 Facts about Transport and Climate Change, International Transport Forum (2019)	https://www.youtube.com/channel/UCndtbdzClUoBVCBvteFwQaQ	REPORT:	ITF Transport Outlook 2019, International Transport Forum (2019)	https://www.oecd-ilibrary.org/transport/itf-transport-outlook-2019_transp_outlook-en-2019-en	POLICY BRIEF :	Is Low-Carbon Road Freight Possible? International Transport Forum (2018)	https://www.itf-oecd.org/low-carbon-road-freight
Transport 	2	5-2	22	Create conditions that increase accessibility and maximise use of transport capacity	<p>The average private car is used for just 50 minutes a day and carries 1.4 passengers. Studies show that car sharing can provide the same flexibility as private cars, but with just 10% fewer vehicles. That would reduce CO<sub>2</sub> emissions from cars by one third without introducing new technology. Because shared vehicles clock more miles, they are replaced more quickly and new low-carbon technologies hit the road faster. Public parking becomes redundant and the space can be used in more eco-friendly ways - for walking and cycling, or less polluting delivery of goods. Importantly, shared mobility services can act as feeders for public transport. The largest CO<sub>2</sub> reductions in the transport sector would come from shared electric vehicles.  </p><p>Moving goods is an ever more important part of transport. The share of freight will grow to nearly 50% of all transport activity by 2050, from just over a third today. Keeping down the associated CO<sub>2</sub> emissions will require better use of trucks and ships. Smart logistics solutions can help maximise capacity use - more efficient use of data, for instance, or sharing depots and delivery vans. Also, larger trucks or ships can move more freight with comparatively less energy. Still, care is needed to improve CO<sub>2</sub> efficiency along the entire supply chain. </p> <p>Governments should also strive to bring the costs of rail down to make it more competitive, modern and attractive for passengers, particularly on shorter national and transcontinental journeys, in Europe for instance. More investment should be channelled into new railways in developing countries and remote regions. </p>	VIDEO:	How Shared Self-driving Cars Could Change City Traffic, International Transport Forum (2015)  	https://youtu.be/j9kK0RHl-LI	INITIATIVE:	How Shared Mobility Can Make Cities More Liveable, International Transport Forum (2018)	https://www.itf-oecd.org/itf-work-shared-mobility	REPORT:	High Capacity Transport: Towards Efficient, Safe an Sustainable Road Freight, International Transport Forum (2019)	https://www.itf-oecd.org/high-capacity-transport
